Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 48 is finished, elapsed time = 12ms 
Thread 30 is finished, elapsed time = 15ms 
Thread 23 is finished, elapsed time = 17ms 
Thread 46 is finished, elapsed time = 13ms 
Thread 47 is finished, elapsed time = 14ms 
Thread 51 is finished, elapsed time = 14ms 
Thread 53 is finished, elapsed time = 14ms 
Thread 34 is finished, elapsed time = 9939μs 
Thread 57 is finished, elapsed time = 10ms 
Thread 71 is finished, elapsed time = 8900μs 
Thread 54 is finished, elapsed time = 16ms 
Thread 70 is finished, elapsed time = 10ms 
Thread 44 is finished, elapsed time = 19ms 
Thread 24 is finished, elapsed time = 24ms 
Thread 72 is finished, elapsed time = 12ms 
Thread 58 is finished, elapsed time = 18ms 
Thread 41 is finished, elapsed time = 21ms 
Thread 50 is finished, elapsed time = 20ms 
Thread 22 is finished, elapsed time = 25ms 
Thread 28 is finished, elapsed time = 24ms 
Thread 29 is finished, elapsed time = 24ms 
Thread 40 is finished, elapsed time = 22ms 
Thread 39 is finished, elapsed time = 22ms 
Thread 36 is finished, elapsed time = 22ms 
Thread 32 is finished, elapsed time = 23ms 
Thread 49 is finished, elapsed time = 21ms 
Thread 75 is finished, elapsed time = 12ms 
Thread 63 is finished, elapsed time = 11ms 
Thread 33 is finished, elapsed time = 24ms 
Thread 69 is finished, elapsed time = 16ms 
Thread 73 is finished, elapsed time = 14ms 
Thread 42 is finished, elapsed time = 24ms 
Thread 82 is finished, elapsed time = 9682μs 
Thread 59 is finished, elapsed time = 21ms 
Thread 84 is finished, elapsed time = 9316μs 
Thread 60 is finished, elapsed time = 22ms 
Thread 26 is finished, elapsed time = 28ms 
Thread 62 is finished, elapsed time = 13ms 
Thread 74 is finished, elapsed time = 16ms 
Thread 67 is finished, elapsed time = 21ms 
Thread 97 is finished, elapsed time = 5940μs 
Thread 85 is finished, elapsed time = 11ms 
Thread 94 is finished, elapsed time = 8408μs 
Thread 83 is finished, elapsed time = 12ms 
Thread 64 is finished, elapsed time = 12ms 
Thread 52 is finished, elapsed time = 27ms 
Thread 89 is finished, elapsed time = 11ms 
Thread 95 is finished, elapsed time = 9387μs 
Thread 80 is finished, elapsed time = 15ms 
Thread 76 is finished, elapsed time = 17ms 
Thread 61 is finished, elapsed time = 22ms 
Thread 78 is finished, elapsed time = 17ms 
Thread 92 is finished, elapsed time = 12ms 
Thread 66 is finished, elapsed time = 15ms 
Thread 102 is finished, elapsed time = 5964μs 
Thread 104 is finished, elapsed time = 6145μs 
Thread 56 is finished, elapsed time = 31ms 
Thread 100 is finished, elapsed time = 9643μs 
Thread 79 is finished, elapsed time = 19ms 
Thread 90 is finished, elapsed time = 16ms 
Thread 107 is finished, elapsed time = 6452μs 
Thread 81 is finished, elapsed time = 19ms 
Thread 101 is finished, elapsed time = 6416μs 
Thread 93 is finished, elapsed time = 15ms 
Thread 87 is finished, elapsed time = 18ms 
Thread 103 is finished, elapsed time = 9369μs 
Thread 65 is finished, elapsed time = 23ms 
Thread 77 is finished, elapsed time = 22ms 
Thread 98 is finished, elapsed time = 13ms 
Thread 68 is finished, elapsed time = 20ms 
Thread 91 is finished, elapsed time = 18ms 
Thread 96 is finished, elapsed time = 16ms 
Thread 114 is finished, elapsed time = 6981μs 
Thread 86 is finished, elapsed time = 22ms 
Thread 88 is finished, elapsed time = 22ms 
Thread 115 is finished, elapsed time = 7821μs 
Thread 116 is finished, elapsed time = 8222μs 
Thread 112 is finished, elapsed time = 10ms 
Thread 106 is finished, elapsed time = 13ms 
Thread 105 is finished, elapsed time = 13ms 
Thread 117 is finished, elapsed time = 8579μs 
Thread 99 is finished, elapsed time = 17ms 
Thread 120 is finished, elapsed time = 8450μs 
Thread 113 is finished, elapsed time = 11ms 
Thread 110 is finished, elapsed time = 13ms 
Thread 108 is finished, elapsed time = 7981μs 
Thread 119 is finished, elapsed time = 10ms 
Thread 127 is finished, elapsed time = 9493μs 
Thread 142 is finished, elapsed time = 6974μs 
Thread 111 is finished, elapsed time = 14ms 
Thread 141 is finished, elapsed time = 7844μs 
Thread 136 is finished, elapsed time = 8758μs 
Thread 138 is finished, elapsed time = 8781μs 
Thread 109 is finished, elapsed time = 16ms 
Thread 122 is finished, elapsed time = 12ms 
Thread 137 is finished, elapsed time = 9673μs 
Thread 118 is finished, elapsed time = 14ms 
Thread 124 is finished, elapsed time = 12ms 
Thread 125 is finished, elapsed time = 12ms 
Thread 139 is finished, elapsed time = 9924μs 
Thread 123 is finished, elapsed time = 13ms 
Thread 143 is finished, elapsed time = 9159μs 
Thread 134 is finished, elapsed time = 11ms 
